block_id,shift
block_1666,608-04
block_1667,609-01
block_1668,610-01
block_1669,610-02
block_1670,610-03
block_1671,611-01
block_1672,611-02
block_1673,701-01
block_1674,701-02
block_1675,701-03
block_1676,722-01
block_1677,722-02
block_1678,722-03
block_1679,722-04
block_1680,902-01
block_1681,902-02
block_1682,903-01
block_1683,904-01
block_1684,904-02
block_1685,904-03
block_1686,917-01
block_1687,918-01
block_1688,937-01
block_1689,948-01
block_1690,102-01
block_1691,102-02
block_1692,102-03
block_1693,102-04
block_1694,102-05
block_1695,104-01
block_1696,104-02
block_1697,104-03
block_1698,105-01
block_1699,105-02
block_1700,107-01
block_1701,107-02
block_1702,107-03
block_1703,111-01
block_1704,112-01
block_1705,112-02
block_1706,112-03
block_1707,112-04
block_1708,116-01
block_1709,120-01
block_1710,120-02
block_1711,120-03
block_1712,120-04
block_1713,121-01
block_1714,121-02
block_1715,122-01
block_1716,122-02
block_1717,122-03
block_1718,122-04
block_1719,123-01
block_1720,123-02
block_1721,123-03
block_1722,123-04
block_1723,123-05
block_1724,123-06
block_1725,123-07
block_1726,124-01
block_1727,124-02
block_1728,124-03
block_1729,124-04
block_1730,125-01
block_1731,125-02
block_1732,125-03
block_1733,125-04
block_1734,125-05
block_1735,125-06
block_1736,125-07
block_1737,127-01
block_1738,128-01
block_1739,128-02
block_1740,128-03
block_1741,128-04
block_1742,128-05
block_1743,128-06
block_1744,128-07
block_1745,128-08
block_1746,130-01
block_1747,130-02
block_1748,130-03
block_1749,130-04
block_1750,130-05
block_1751,130-06
block_1752,132-01
block_1753,132-02
block_1754,132-03
block_1755,132-04
block_1756,132-05
block_1757,132-06
block_1758,132-07
block_1759,133-01
block_1760,133-02
block_1761,133-03
block_1762,134-01
block_1763,134-02
block_1764,135-01
block_1765,135-02
block_1766,135-03
block_1767,138-01
block_1768,138-02
block_1769,138-03
block_1770,138-04
block_1771,138-05
block_1772,138-06
block_1773,139-01
block_1774,139-02
block_1775,139-03
block_1776,139-04
block_1777,139-05
block_1778,139-06
block_1779,139-07
block_1780,139-08
block_1781,139-09
block_1782,140-01
block_1783,140-02
block_1784,144-01
block_1785,144-02
block_1786,144-03
block_1787,144-04
block_1788,144-05
block_1789,144-06
block_1790,144-07
block_1791,144-08
block_1792,144-09
block_1793,144-10
block_1794,148-01
block_1795,148-02
block_1796,148-03
block_1797,148-04
block_1798,148-05
block_1799,149-01
block_1800,151-01
block_1801,151-02
block_1802,151-03
block_1803,151-04
block_1804,153-01
block_1805,153-02
block_1806,153-03
block_1807,153-04
block_1808,155-01
block_1809,155-02
block_1810,155-03
block_1811,155-04
block_1812,156-01
block_1813,158-01
block_1814,158-02
block_1815,158-03
block_1816,160-01
block_1817,160-02
block_1818,160-03
block_1819,161-01
block_1820,162-01
block_1821,162-02
block_1822,162-03
block_1823,162-04
block_1824,164-01
block_1825,164-02
block_1826,164-03
block_1827,164-04
block_1828,164-05
block_1829,164-06
block_1830,164-07
block_1831,164-08
block_1832,164-09
block_1833,168-01
block_1834,168-02
block_1835,169-01
block_1836,169-02
block_1837,169-03
block_1838,169-04
block_1839,169-05
block_1840,169-06
block_1841,169-07
block_1842,169-08
block_1843,169-09
block_1844,169-10
block_1845,169-11
block_1846,171-01
block_1847,171-02
block_1848,172-01
block_1849,172-02
block_1850,172-03
block_1851,172-04
block_1852,172-05
block_1853,172-06
block_1854,172-07
block_1855,172-08
block_1856,172-09
block_1857,173-01
block_1858,173-02
block_1859,173-03
block_1860,173-04
block_1861,173-05
block_1862,173-06
block_1863,173-07
block_1864,173-08
block_1865,173-09
block_1866,174-01
block_1867,174-02
block_1868,174-03
block_1869,174-04
block_1870,174-05
block_1871,174-06
block_1872,174-07
block_1873,174-08
block_1874,174-09
block_1875,175-01
block_1876,175-02
block_1877,176-01
block_1878,179-01
block_1879,179-02
block_1880,179-03
block_1881,179-04
block_1882,179-05
block_1883,179-06
block_1884,179-07
block_1885,179-08
block_1886,179-09
block_1887,179-10
block_1888,179-11
block_1889,179-12
block_1890,179-13
block_1891,179-14
block_1892,179-15
block_1893,180-01
block_1894,182-01
block_1895,182-02
block_1896,182-03
block_1897,182-04
block_1898,182-05
block_1899,182-06
block_1900,182-07
block_1901,182-08
block_1902,182-09
block_1903,182-10
block_1904,182-11
block_1905,191-01
block_1906,192-01
block_1907,192-02
block_1908,192-03
block_1909,192-04
block_1910,192-05
block_1911,192-06
block_1912,192-07
block_1913,194-01
block_1914,194-02
block_1915,194-03
block_1916,194-04
block_1917,194-05
block_1918,194-06
block_1919,194-07
block_1920,194-08
block_1921,194-09
block_1922,194-10
block_1923,194-11
block_1924,194-12
block_1925,194-13
block_1926,194-14
block_1927,194-15
block_1928,194-16
block_1929,194-17
block_1930,195-01
block_1931,195-02
block_1932,195-03
block_1933,195-04
block_1934,195-05
block_1935,198-01
block_1936,198-02
block_1937,199-01
block_1938,199-02
block_1939,199-03
block_1940,199-04
block_1941,199-05
block_1942,199-06
block_1943,199-07
block_1944,199-08
block_1945,200-01
block_1946,200-02
block_1947,202-01
block_1948,202-02
block_1949,203-01
block_1950,203-02
block_1951,203-03
block_1952,204-01
block_1953,204-02
block_1954,204-03
block_1955,204-04
block_1956,204-05
block_1957,204-06
block_1958,207-01
block_1959,207-02
block_1960,207-03
block_1961,209-01
block_1962,210-01
block_1963,211-01
block_1964,211-02
block_1965,211-03
block_1966,211-04
block_1967,212-01
block_1968,213-01
block_1969,213-02
block_1970,214-01
block_1971,214-02
block_1972,214-03
block_1973,215-01
block_1974,215-02
block_1975,217-01
block_1976,217-02
block_1977,218-01
block_1978,218-02
block_1979,218-03
block_1980,219-01
block_1981,220-01
block_1982,220-02
block_1983,221-01
block_1984,221-02
block_1985,222-01
block_1986,222-02
block_1987,223-01
block_1988,223-02
block_1989,224-01
block_1990,225-01
block_1991,225-02
block_1992,225-03
block_1993,225-04
block_1994,227-01
block_1995,227-02
block_1996,227-03
block_1997,228-01
block_1998,228-02
block_1999,229-01
block_2000,229-02
block_2001,229-03
block_2002,229-04
block_2003,230-01
block_2004,230-02
block_2005,232-01
block_2006,232-02
block_2007,233-01
block_2008,233-02
block_2009,234-01
block_2010,234-02
block_2011,235-01
block_2012,235-02
block_2013,235-03
block_2014,238-01
block_2015,238-02
block_2016,238-03
block_2017,238-04
block_2018,239-01
block_2019,239-02
block_2020,240-01
block_2021,242-01
block_2022,243-01
block_2023,244-01
block_2024,244-02
block_2025,244-03
block_2026,245-01
block_2027,245-02
block_2028,247-01
block_2029,248-01
block_2030,248-02
block_2031,248-03
block_2032,248-04
block_2033,249-01
block_2034,249-02
block_2035,249-03
block_2036,249-04
block_2037,249-05
block_2038,250-01
block_2039,253-01
block_2040,253-02
block_2041,253-03
block_2042,254-01
block_2043,254-02
block_2044,254-03
block_2045,255-01
block_2046,257-01
block_2047,257-02
block_2048,258-01
block_2049,258-02
block_2050,259-01
block_2051,259-02
block_2052,260-01
block_2053,260-02
block_2054,262-01
block_2055,263-01
block_2056,263-02
block_2057,263-04
block_2058,264-01
block_2059,265-01
block_2060,267-01
block_2061,267-02
block_2062,268-01
block_2063,268-02
block_2064,269-01
block_2065,269-02
block_2066,269-03
block_2067,269-04
block_2068,269-05
block_2069,270-01
block_2070,272-01
block_2071,273-01
block_2072,274-01
block_2073,274-02
block_2074,275-01
block_2075,275-02
block_2076,277-01
block_2077,277-02
block_2078,278-01
block_2079,278-02
block_2080,278-03
block_2081,279-01
block_2082,280-01
block_2083,283-01
block_2084,283-02
block_2085,284-01
block_2086,285-01
block_2087,285-02
block_2088,288-01
block_2089,288-02
block_2090,290-01
block_2091,290-02
block_2092,293-01
block_2093,293-02
block_2094,295-01
block_2095,297-01
block_2096,297-02
block_2097,298-01
block_2098,298-02
block_2099,299-01
block_2100,300-01
block_2101,300-02
block_2102,300-03
block_2103,300-04
block_2104,301-01
block_2105,301-02
block_2106,301-03
block_2107,301-04
block_2108,301-05
block_2109,301-06
block_2110,301-07
block_2111,301-08
block_2112,301-09
block_2113,304-01
block_2114,304-02
block_2115,304-03
block_2116,304-04
block_2117,304-05
block_2118,304-06
block_2119,304-07
block_2120,304-08
block_2121,304-09
block_2122,304-10
block_2123,304-11
block_2124,304-12
block_2125,304-13
block_2126,304-14
block_2127,304-15
block_2128,307-01
block_2129,307-02
block_2130,307-03
block_2131,307-04
block_2132,307-05
block_2133,307-06
block_2134,307-07
block_2135,310-01
block_2136,310-02
block_2137,310-03
block_2138,310-04
block_2139,310-05
block_2140,310-06
block_2141,310-07
block_2142,310-08
block_2143,317-01
block_2144,317-02
block_2145,317-03
block_2146,317-04
block_2147,317-05
block_2148,337-01
block_2149,337-02
block_2150,337-03
block_2151,337-04
block_2152,337-05
block_2153,337-06
block_2154,405-01
block_2155,405-02
block_2156,405-03
block_2157,420-01
block_2158,420-02
block_2159,424-01
block_2160,424-02
block_2161,424-03
block_2162,433-01
block_2163,433-02
block_2164,475-01
block_2165,475-02
block_2166,502-01
block_2167,502-02
block_2168,502-03
block_2169,502-04
block_2170,502-05
block_2171,502-06
block_2172,502-07
block_2173,503-01
block_2174,503-02
block_2175,503-03
block_2176,503-04
block_2177,503-05
block_2178,503-06
block_2179,503-07
block_2180,503-08
block_2181,503-09
block_2182,513-01
block_2183,513-02
block_2184,513-03
block_2185,513-04
block_2186,513-05
block_2187,513-06
block_2188,513-07
block_2189,513-08
block_2190,572-01
block_2191,572-02
block_2192,572-03
block_2193,572-04
block_2194,572-05
block_2195,572-06
block_2196,572-07
block_2197,601-01
block_2198,601-02
block_2199,601-03
block_2200,601-04
block_2201,605-01
block_2202,605-02
block_2203,608-01
block_2204,608-02
block_2205,608-03
block_2206,608-04
block_2207,610-01
block_2208,610-02
block_2209,610-03
block_2210,611-01
block_2211,611-02
block_2212,662-01
block_2213,662-02
block_2214,662-03
block_2215,664-01
block_2216,664-02
block_2217,664-03
block_2218,669-01
block_2219,669-02
block_2220,669-03
block_2221,701-01
block_2222,701-02
block_2223,701-03
block_2224,722-01
block_2225,722-02
block_2226,722-03
block_2227,722-04
block_2228,902-01
block_2229,902-02
block_2230,904-01
block_2231,904-02
block_2232,904-03
block_2233,917-01
block_2234,937-01
